model_bigg_id	bigg_id	name	organism
iAB_RBC_283	Akr1a1_AT2	AKR1A1	Homo sapiens
iAB_RBC_283	Akr1b1_AT1	AKR1B1	Homo sapiens
iAB_RBC_283	Akr7a2_AT1	AKR7A2	Homo sapiens
iAB_RBC_283	Alad_AT1	ALAD	Homo sapiens
iAB_RBC_283	Alad_AT2	ALAD	Homo sapiens
iAB_RBC_283	Aldh1a1_AT1	ALDH1A1	Homo sapiens
iAB_RBC_283	Aldh1a2_AT2	ALDH1A2	Homo sapiens
iAB_RBC_283	Aldh3a1_AT1	ALDH3A1	Homo sapiens
iAB_RBC_283	Aldh9a1_AT1	ALDH9A1	Homo sapiens
iAB_RBC_283	Aldoa_AT1	ALDOA	Homo sapiens
iAB_RBC_283	Aldoa_AT2	ALDOA	Homo sapiens
iAB_RBC_283	Aldoa_AT3	ALDOA	Homo sapiens
iAB_RBC_283	Aldoc_AT1	ALDOC	Homo sapiens
iAB_RBC_283	Amd1_AT1	AMD1	Homo sapiens
iAB_RBC_283	AmpD3_AT1	AMPD3	Homo sapiens
iAB_RBC_283	Aox1_AT1	AOX1	Homo sapiens
iAB_RBC_283	AprT_AT1	APRT	Homo sapiens
iAB_RBC_283	Arg1_AT1	ARG1	Homo sapiens
iAB_RBC_283	Atp2b1_AT1	ATP2B1	Homo sapiens
iAB_RBC_283	Atp2b4_AT1	ATP2B4	Homo sapiens
iAB_RBC_283	Blvra_AT1	BLVRA	Homo sapiens
iAB_RBC_283	Bpgm_AT1	BPGM	Homo sapiens
iAB_RBC_283	Bpgm_AT2	BPGM	Homo sapiens
iAB_RBC_283	Ca1_AT1	CA1	Homo sapiens
iAB_RBC_283	Ca2_AT1	CA2	Homo sapiens
iAB_RBC_283	Ca3_AT1	CA3	Homo sapiens
iAB_RBC_283	Cat_AT1	CAT	Homo sapiens
iAB_RBC_283	Cdipt_AT1	CDIPT	Homo sapiens
iAB_RBC_283	Cdipt_AT2	CDIPT	Homo sapiens
iAB_RBC_283	Cds1_AT1	CDS1	Homo sapiens
iAB_RBC_283	CEPT1	CEPT1	Homo sapiens
iAB_RBC_283	Chpt1_AT1	CHPT1	Homo sapiens
iAB_RBC_283	Clc_AT1	CLC	Homo sapiens
iAB_RBC_283	Comt_AT1	COMT	Homo sapiens
iAB_RBC_283	Comt_AT2	COMT	Homo sapiens
iAB_RBC_283	Comtd1_AT1	COMTD1	Homo sapiens
iAB_RBC_283	Cpox_AT1	CPOX	Homo sapiens
iAB_RBC_283	Cpt1a_AT1	CPT1A	Homo sapiens
iAB_RBC_283	Cpt2_AT1	CPT2	Homo sapiens
iAB_RBC_283	CRYL1	CRYL1	Homo sapiens
iAB_RBC_283	Dcxr_AT1	DCXR	Homo sapiens
iAB_RBC_283	Dgka_AT1	DGKA	Homo sapiens
iAB_RBC_283	Dgkb_AT1	DGKB	Homo sapiens
iAB_RBC_283	Dgkb_AT2	DGKB	Homo sapiens
iAB_RBC_283	Dgkd_AT1	DGKD	Homo sapiens
iAB_RBC_283	Dgkd_AT2	DGKD	Homo sapiens
iAB_RBC_283	Dgke_AT1	DGKE	Homo sapiens
iAB_RBC_283	Dgkg_AT1	DGKG	Homo sapiens
iAB_RBC_283	Dgkh_AT1	DGKH	Homo sapiens
iAB_RBC_283	Dgkh_AT2	DGKH	Homo sapiens
iAB_RBC_283	Dgki_AT1	DGKI	Homo sapiens
iAB_RBC_283	Dgkq_AT1	DGKQ	Homo sapiens
iAB_RBC_283	Dgkz_AT1	DGKZ	Homo sapiens
iAB_RBC_283	Dgkz_AT2	DGKZ	Homo sapiens
iAB_RBC_283	Dgkz_AT3	DGKZ	Homo sapiens
iAB_RBC_283	Eno1_AT1	ENO1	Homo sapiens
iAB_RBC_283	ENOPH1	ENOPH1	Homo sapiens
iAB_RBC_283	EnpP1_AT1	ENPP1	Homo sapiens
iAB_RBC_283	ETNK1	ETNK1	Homo sapiens
iAB_RBC_283	ETNK2	ETNK2	Homo sapiens
iAB_RBC_283	Fbp1_AT1	FBP1	Homo sapiens
iAB_RBC_283	Fbp2_AT1	FBP2	Homo sapiens
iAB_RBC_283	Fech_AT1	FECH	Homo sapiens
iAB_RBC_283	Fech_AT2	FECH	Homo sapiens
iAB_RBC_283	Fh_AT1	FH	Homo sapiens
iAB_RBC_283	G6pd_AT1	G6PD	Homo sapiens
iAB_RBC_283	Gale_AT1	GALE	Homo sapiens
iAB_RBC_283	Gale_AT2	GALE	Homo sapiens
iAB_RBC_283	Galk1_AT1	GALK1	Homo sapiens
iAB_RBC_283	Galt_AT1	GALT	Homo sapiens
iAB_RBC_283	Galt_AT2	GALT	Homo sapiens
iAB_RBC_283	Galt_AT3	GALT	Homo sapiens
iAB_RBC_283	Gapdh_AT1	GAPDH	Homo sapiens
iAB_RBC_283	Gclc_AT1	GCLC	Homo sapiens
iAB_RBC_283	Gclm_AT1	GCLM	Homo sapiens
iAB_RBC_283	Gk2_AT1	GK2	Homo sapiens
iAB_RBC_283	Gk_AT1	GK	Homo sapiens
iAB_RBC_283	Gk_AT2	GK	Homo sapiens
iAB_RBC_283	Glo1_AT1	GLO1	Homo sapiens
iAB_RBC_283	Glul_AT1	GLUL	Homo sapiens
iAB_RBC_283	GmpR_AT1	GMPR	Homo sapiens
iAB_RBC_283	Gmps_AT1	GMPS	Homo sapiens
iAB_RBC_283	Gnpda1_AT1	GNPDA1	Homo sapiens
iAB_RBC_283	Got1_AT1	GOT1	Homo sapiens
iAB_RBC_283	Gpam_AT1	GPAM	Homo sapiens
iAB_RBC_283	Gpi_AT1	GPI	Homo sapiens
iAB_RBC_283	Gpx1_AT1	GPX1	Homo sapiens
iAB_RBC_283	Gpx1_AT2	GPX1	Homo sapiens
iAB_RBC_283	Gpx4_AT1	GPX4	Homo sapiens
iAB_RBC_283	Gsr_AT2	GSR	Homo sapiens
iAB_RBC_283	Gss_AT1	GSS	Homo sapiens
iAB_RBC_283	Gucy2C_AT1	GUCY2C	Homo sapiens
iAB_RBC_283	Gucy2D_AT1	GUCY2D	Homo sapiens
iAB_RBC_283	Gucy2F_AT1	GUCY2F	Homo sapiens
iAB_RBC_283	Guk1_AT1	GUK1	Homo sapiens
iAB_RBC_283	Hagh_AT1	HAGH	Homo sapiens
iAB_RBC_283	Hk1_AT1	HK1	Homo sapiens
iAB_RBC_283	Hk1_AT2	HK1	Homo sapiens
iAB_RBC_283	Hk1_AT3	HK1	Homo sapiens
iAB_RBC_283	Hk1_AT4	HK1	Homo sapiens
iAB_RBC_283	Hk1_AT5	HK1	Homo sapiens
iAB_RBC_283	Hk2_AT1	HK2	Homo sapiens
iAB_RBC_283	Hk3_AT1	HK3	Homo sapiens
iAB_RBC_283	Hmbs_AT1	HMBS	Homo sapiens
iAB_RBC_283	Hmox1_AT1	HMOX1	Homo sapiens
iAB_RBC_283	Hmox2_AT1	HMOX2	Homo sapiens
iAB_RBC_283	HprT1_AT1	HPRT1	Homo sapiens
iAB_RBC_283	Idh1_AT1	IDH1	Homo sapiens
iAB_RBC_283	Impa1_AT1	IMPA1	Homo sapiens
iAB_RBC_283	ImpDH1_AT1	IMPDH1	Homo sapiens
iAB_RBC_283	ImpDH1_AT2	IMPDH1	Homo sapiens
iAB_RBC_283	ImpDH2_AT1	IMPDH2	Homo sapiens
iAB_RBC_283	Inpp5d_AT1	INPP5D	Homo sapiens
iAB_RBC_283	Isyna1_AT1	ISYNA1	Homo sapiens
iAB_RBC_283	Itpka_AT1	ITPKA	Homo sapiens
iAB_RBC_283	Itpkb_AT1	ITPKB	Homo sapiens
iAB_RBC_283	Itpkc_AT1	ITPKC	Homo sapiens
iAB_RBC_283	Ldha_AT1	LDHA	Homo sapiens
iAB_RBC_283	Ldhb_AT1	LDHB	Homo sapiens
iAB_RBC_283	LGALS13	LGALS13	Homo sapiens
iAB_RBC_283	Lta4h_AT1	LTA4H	Homo sapiens
iAB_RBC_283	Mat1a_AT1	MAT1A	Homo sapiens
iAB_RBC_283	Mdh1_AT1	MDH1	Homo sapiens
iAB_RBC_283	Me1_AT1	ME1	Homo sapiens
iAB_RBC_283	Mpi_AT1	MPI	Homo sapiens
iAB_RBC_283	Mtap_AT1	MTAP	Homo sapiens
iAB_RBC_283	Nadk_AT1	NADK	Homo sapiens
iAB_RBC_283	Nadsyn1_AT1	NADSYN1	Homo sapiens
iAB_RBC_283	Nagk_AT1	NAGK	Homo sapiens
iAB_RBC_283	Nanp_AT1	NANP	Homo sapiens
iAB_RBC_283	Nans_AT1	NANS	Homo sapiens
iAB_RBC_283	NME3_AT1	NME3	Homo sapiens
iAB_RBC_283	NME6_AT1	NME6	Homo sapiens
iAB_RBC_283	NME7_AT1	NME7	Homo sapiens
iAB_RBC_283	NME7_AT2	NME7	Homo sapiens
iAB_RBC_283	Nmnat3_AT1	NMNAT3	Homo sapiens
iAB_RBC_283	Npr1_AT1	NPR1	Homo sapiens
iAB_RBC_283	Npr2_AT1	NPR2	Homo sapiens
iAB_RBC_283	Npr2_AT2	NPR2	Homo sapiens
iAB_RBC_283	Nt5C2_AT1	NT5C2	Homo sapiens
iAB_RBC_283	Nt5C_AT1	NT5C	Homo sapiens
iAB_RBC_283	NudT2_AT1	NUDT2	Homo sapiens
iAB_RBC_283	NudT2_AT2	NUDT2	Homo sapiens
iAB_RBC_283	NudT2_AT3	NUDT2	Homo sapiens
iAB_RBC_283	Odc1_AT1	ODC1	Homo sapiens
iAB_RBC_283	Oplah_AT1	OPLAH	Homo sapiens
iAB_RBC_283	Pcyt1a_AT1	PCYT1A	Homo sapiens
iAB_RBC_283	Pcyt1b_AT1	PCYT1B	Homo sapiens
iAB_RBC_283	Pcyt2_AT1	PCYT2	Homo sapiens
iAB_RBC_283	PDE10A	PDE10A	Homo sapiens
iAB_RBC_283	Pde11A_AT1	PDE11A	Homo sapiens
iAB_RBC_283	Pde1A_AT1	PDE1A	Homo sapiens
iAB_RBC_283	Pde1A_AT2	PDE1A	Homo sapiens
iAB_RBC_283	Pde1B_AT1	PDE1B	Homo sapiens
iAB_RBC_283	Pde1C_AT1	PDE1C	Homo sapiens
iAB_RBC_283	Pde2A_AT1	PDE2A	Homo sapiens
iAB_RBC_283	Pde3A_AT1	PDE3A	Homo sapiens
iAB_RBC_283	Pde3B_AT1	PDE3B	Homo sapiens
iAB_RBC_283	Pde3B_AT2	PDE3B	Homo sapiens
iAB_RBC_283	Pde4A_AT1	PDE4A	Homo sapiens
iAB_RBC_283	Pde4B_AT1	PDE4B	Homo sapiens
iAB_RBC_283	Pde4C_AT1	PDE4C	Homo sapiens
iAB_RBC_283	Pde4D_AT1	PDE4D	Homo sapiens
iAB_RBC_283	Pde7A_AT1	PDE7A	Homo sapiens
iAB_RBC_283	Pde7A_AT2	PDE7A	Homo sapiens
iAB_RBC_283	Pde7B_AT1	PDE7B	Homo sapiens
iAB_RBC_283	Pde8a_AT1	PDE8A	Homo sapiens
iAB_RBC_283	Pde8a_AT2	PDE8A	Homo sapiens
iAB_RBC_283	Pde8a_AT3	PDE8A	Homo sapiens
iAB_RBC_283	Pde8a_AT4	PDE8A	Homo sapiens
iAB_RBC_283	Pde8a_AT5	PDE8A	Homo sapiens
iAB_RBC_283	Pde8b_AT1	PDE8B	Homo sapiens
