metabolite	model	abbreviation	equation	lowbnd	uppbnd	obj_coef
N-Acetyl-D-glucosamine	global	EX N-Acetyl-D-glucosamine	N-Acetyl-D-glucosamine[E] <=>	0	10000	0
N-Acetyl-D-mannosamine	global	EX N-Acetyl-D-mannosamine	N-Acetyl-D-mannosamine[E] <=>	0	10000	0
N-Acetylmuramate	global	EX N-Acetylmuramate	N-Acetylmuramate[E] <=>	0	10000	0
nickel_	global	EX nickel_	nickel_[E] <=>	0	10000	0
Nicotinate_C6H5NO2	global	EX Nicotinate_C6H5NO2	Nicotinate_C6H5NO2[E] <=>	0	10000	0
Orotate_C5H4N2O4	global	EX Orotate_C5H4N2O4	Orotate_C5H4N2O4[E] <=>	0	10000	0
Phosphate	global	EX Phosphate	Phosphate[E] <=>	-1	10000	0
potassium_K	global	EX potassium_K	potassium_K[E] <=>	-1	10000	0
Propanoate	global	EX Propanoate	Propanoate[E] <=>	0	10000	0
psicoselysine_C12H25N2O7	global	EX psicoselysine_C12H25N2O7	psicoselysine_C12H25N2O7[E] <=>	0	10000	0
Pullulan	global	EX Pullulan	Pullulan[E] <=>	0	10000	0
Raffinose_C18H32O16	global	EX Raffinose_C18H32O16	Raffinose_C18H32O16[E] <=>	0	10000	0
Rhamnogalacturonan	global	EX Rhamnogalacturonan	Rhamnogalacturonan[E] <=>	0	10000	0
Sodium_Na	global	EX Sodium_Na	Sodium_Na[E] <=>	-1	10000	0
Stachyose_C24H42O21	global	EX Stachyose_C24H42O21	Stachyose_C24H42O21[E] <=>	0	10000	0
Succinate	global	EX Succinate	Succinate[E] <=>	0	10000	0
Sucrose	global	EX Sucrose	Sucrose[E] <=>	0	10000	0
Sulfate	global	EX Sulfate	Sulfate[E] <=>	0	10000	0
Thiamin_C12H17N4OS	global	EX Thiamin_C12H17N4OS	Thiamin_C12H17N4OS[E] <=>	0	10000	0
Trehalose	global	EX Trehalose	Trehalose[E] <=>	0	10000	0
tungstate_O4W1	global	EX tungstate_O4W1	tungstate_O4W1[E] <=>	0	10000	0
Uracil_C4H4N2O2	global	EX Uracil_C4H4N2O2	Uracil_C4H4N2O2[E] <=>	0	10000	0
Urea_CH4N2O	global	EX Urea_CH4N2O	Urea_CH4N2O[E] <=>	0	10000	0
Xanthine_C5H4N4O2	global	EX Xanthine_C5H4N4O2	Xanthine_C5H4N4O2[E] <=>	0	10000	0
Zinc_Zn	global	EX Zinc_Zn	Zinc_Zn[E] <=>	0	10000	0
	global	Equiv Acetate	Acetate_C2H4O2[E] <=> Acetate[E]	-10000	10000	0
	global	Equiv Ammonium	Ammonium_H3N[E] <=> Ammonium[E]	-10000	10000	0
	global	Equiv Butyrate	Butyrate_C4H8O2[E] <=> Butyrate[E]	-10000	10000	0
	global	Equiv CO2	CO2_CO2[E] <=> CO2[E]	-10000	10000	0
	global	Equiv D-Fructose	D-Fructose_C6H12O6[E] <=> D-Fructose[E]	-10000	10000	0
	global	Equiv D-Galactose	D-Galactose_C6H12O6[E] <=> D-Galactose[E]	-10000	10000	0
	global	Equiv D-Glucose	D-Glucose_C6H12O6[E] <=> D-Glucose[E]	-10000	10000	0
	global	Equiv D-Xylose	D-Xylose_C5H10O5[E] <=> D-Xylose[E]	-10000	10000	0
	global	Equiv Ethanol	Ethanol_C2H6O[E] <=> Ethanol[E]	-10000	10000	0
	global	Equiv Formate	Formate_CH2O2[E] <=> Formate[E]	-10000	10000	0
	global	Equiv Glycolaldehyde	Glycolaldehyde_C2H4O2[E] <=> Glycolaldehyde[E]	-10000	10000	0
	global	Equiv H2O	H2O_H2O[E] <=> H2O[E]	-10000	10000	0
	global	Equiv Hydrogen_sulfide	Hydrogen_sulfide_H2S[E] <=> Hydrogen_sulfide[E]	-10000	10000	0
	global	Equiv L-Lactate	L-Lactate_C3H5O3[E] <=> L-Lactate[E]	-10000	10000	0
	global	Equiv Lactose	Lactose_C12H22O11[E] <=> Lactose[E]	-10000	10000	0
	global	Equiv Maltohexaose	Maltohexaose_C36H62O31[E] <=>	-10000	10000	0
	global	Equiv Maltopentaose	Maltopentaose_C30H52O26[E] <=> Maltopentaose[E]	-10000	10000	0
	global	Equiv Maltose	Maltose_C12H22O11[E] <=> Maltose[E]	-10000	10000	0
	global	Equiv Maltotriose	Maltotriose_C18H32O16[E] <=> Maltotriose[E]	-10000	10000	0
	global	Equiv Melibiose	Melibiose_C12H22O11[E] <=> Melibiose[E]	-10000	10000	0
	global	Equiv Phosphate	Phosphate_H3O4P[E] <=> Phosphate[E]	-10000	10000	0
	global	Equiv Succinate	Succinate_C4H6O4[E] <=> Succinate[E]	-10000	10000	0
	global	Equiv Trehalose	Trehalose_C12H22O11[E] <=> Trehalose[E]	-10000	10000	0
